Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Rumah 2lt Termurah Se Kelapa Gading,"Rp 3,89 Miliar",5,3,246 m²,288 m²,2,SHM,3500 Watt,1,1,2,2,Bagus
Dijual Rumah Komplek Lebak Bulus Jakarta Selatan,"Rp 3,7 Miliar",4,4,134 m²,150 m²,1,SHM,Lainnya,1,1,3,3,Bagus
Dijual Rumah Mewah Town House Pejaten Jakarta Selatan,"Rp 10,7 Miliar",8,5,404 m²,370 m²,2,SHM,Lainnya,2,1,1,2,Bagus
Dijual Rumah Mewah Hook Komplek Veteran Bintaro Jakarta Selatan,"Rp 4,8 Miliar",3,4,240 m²,300 m²,2,SHM,Lainnya,1,1,2,2,Bagus
Rumah 3 Lantai Kelapa Gading Bisa Buat Kost,"Rp 3,5 Miliar",5,1,120 m²,240 m²,2,SHM,Lainnya,2,2,2,1,Bagus
"Dijual Rumah Di Kampung Cepu, Jakarta Pusat","Rp 1,6 Miliar",4,3,105 m²,104 m²,2,SHM,2200 Watt,1,1,3,1,Bagus
Rumah Sangat Strategis 2 Lantai Di Karet Kuningan,"Rp 7,5 Miliar",4,5,176 m²,300 m²,3,SHM,Lainnya,1,2,1,1,Bagus
"Rumah Taman Alfa Indah, Brand New, 300 M2, Cantik, Layout Rapi, Modern Minimalis","Rp 7,25 Miliar",4,4,300 m²,341 m²,2,SHM,Lainnya,1,1,1,2,Bagus
"RUMAH BARU RENOV 4 LANTAI PERUMAHAN DURI KEPA, JAKARTA BARAT","Rp 2,65 Miliar",3,3,90 m²,280 m²,1,SHM,3500 Watt,1,1,3,2,Butuh Renovasi
"RUMAH DURI KEPA, JAKARTA BARAT 2½ LANTAI SIAP HUNI DAN STRATEGIS","Rp 2,5 Miliar",3,3,129 m²,160 m²,2,SHM,2200 Watt,1,1,1,2,Renovasi Minimum
