Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Rumah Taman Grisenda Pik 1 Bagus 2 Lantai Siap Huni Shm ,"Rp 6,3 Miliar",2,3,200 m²,300 m²,1,SHM,3500 Watt,1,1,,3,Bagus
Rumah Murah 2 Lantai Shm Dan Akses Mobil Di Dekat Jis Sunter,Rp 800 Juta,4,5,36 m²,67 m²,2,SHM,Lainnya,1,1,,3,Bagus
Rumah Mewah Private Pool Non Cluster Jagakarsa ,"Rp 3,6 Miliar",4,4,162 m²,250 m²,2,SHM,3500 Watt,1,4,,2,Sudah Renovasi
Dijual Rumah Cluster Kelapa Gading,"Rp 4,9 Miliar",4,4,136 m²,250 m²,2,SHM,Lainnya,2,1,,2,Bagus
"Rumah Pantai Indah Kapuk 10x25, Full Renov",Rp 8 Miliar,3,3,250 m²,400 m²,1,SHM,4400 Watt,1,1,,1,Bagus
rumah baru saja renovasi total bagus dikota wisata ,"Rp 1,85 Miliar",2,2,128 m²,180 m²,2,SHM,3300 Watt,1,1,,1,Bagus
Rumah Mewah LT 179 Siap KPR 16 menit ke Puri Indah Mall Bisa Nego J19252,"Rp 1,99 Miliar",2,1,179 m²,90 m²,1,SHM,2200 Watt,2,1,,3,Bagus
Rumah Hadap Selatan LT 105 Bisa Nego 15 Menit ke Trans Studio Mall Cibubur J23112,Rp 780 Juta,4,3,105 m²,68 m²,1,HGB,2200 Watt,1,1,,2,Bagus
Rumah Modern Kelapa Gading Furnished,"Rp 3,4 Miliar",6,3,102 m²,282 m²,1,SHM,5500 Watt,1,1,,2,Bagus
Rumah 6 Kamar Tidur Harga Nego 15 Menit ke Lippo Mall Puri Dibantu KPR J-16825,"Rp 2,77 Miliar",5,3,135 m²,250 m²,2,SHM,5500 Watt,1,1,,2,Bagus
Rumah SHM LT 160 Bisa Nego 15 Mnt ke Mandaya Royal Hospital Puri Siap KPR J22732,"Rp 2,21 Miliar",3,1,160 m²,160 m²,6,SHM,2200 Watt,1,1,,2,Baru
Rumah Modern Hadap Timur 2 Lt Siap Huni 15 Menit ke Transmart Graha Raya J23881,"Rp 1,29 Miliar",6,4,129 m²,200 m²,2,SHM,5500 Watt,1,1,,2,Bagus
Rumah Carport Luas 15 Menit ke Tangcity Mall Hadap Selatan Bisa Nego J24825,"Rp 3,07 Miliar",3,3,120 m²,200 m²,2,Lainnya,Lainnya,1,1,,3,Bagus
rumah 6x15 termurah SHM hadap utara timur,"Rp 2,45 Miliar",4,4,90 m²,124 m²,1,SHM,4400 Watt,1,1,,1,Bagus
"Rumah Cantik, Siap Hunu Di Sunter Paradise","Rp 7,5 Miliar",4,3,170 m²,460 m²,1,SHM,Lainnya,1,1,,1,Bagus
Rumah LT 210 Hadap Utara Siap KPR 10 Menit ke Mall Artha Gading Jakarta J24896,"Rp 2,55 Miliar",2,1,210 m²,160 m²,2,SHM,1300 Watt,1,1,,2,Bagus
Rumah Strategis Hadap Timur 10 menit ke Summarecon Mall Kelapa Gading Dibantu KPR J19956,"Rp 1,05 Miliar",3,2,78 m²,47 m²,2,SHM,2200 Watt,1,1,,1,Baru
Rumah Halaman Luas Free Renov dekat Mall dan Tol di Jakbar Ready Furnished J19654,"Rp 1,9 Miliar",2,2,169 m²,120 m²,2,SHM,2200 Watt,1,1,,2,Bagus
Rumah Siap Huni Harga Nego 7 Menit ke Halte Plaza Cibubur Free Renov J11848,"Rp 1,03 Miliar",3,3,90 m²,54 m²,2,HGB,2200 Watt,1,2,,3,Baru
Wilson Rumah Uk 5x25 Lokasi Strategis Dekat Puri Indah Di Meruya,"Rp 2,35 Miliar",6,6,125 m²,140 m²,1,HGB,2200 Watt,1,1,,2,Bagus
"Rumah Taman Golf Timur hoek Luas 1626m2 Pantai Indah Kapuk Pik, bagus!","Rp 81,8 Miliar",3,3,1626 m²,2500 m²,1,SHM,Lainnya,1,1,,2,Baru
Wilson Rumah Lokasi Bagus Bebas Banjir Di Meruya Utara,"Rp 2,5 Miliar",17,3,125 m²,150 m²,1,SHM,2200 Watt,1,1,,2,Baru
Ana* Rumah Hoek 2lt Luas 9x16.5m Ngantong Lokasi Bagus Di Jelambar - * Good-deal!!*,"Rp 3,39 Miliar",5,4,178 m²,218 m²,2,SHM,3500 Watt,1,1,,2,Baru
Wilson Rumah Lokasi Bagus Di Meruya Utara,"Rp 2,49 Miliar",4,3,125 m²,162 m²,4,SHM,4400 Watt,1,1,,2,Baru
Wilson Rumah 2 Lantai Bebas Banjir Dekat Puri Indah Area Meruya,"Rp 2,3 Miliar",3,3,125 m²,150 m²,2,SHM,2200 Watt,1,1,,2,Baru
Wilson Rumah kav dki meruya,Rp 2 Miliar,3,3,110 m²,120 m²,1,SHM,Lainnya,1,,,2,Baru
Wilson Rumah 2 Lantai Uk 4.5x20 Di Meruya Utara,"Rp 2,05 Miliar",3,3,90 m²,110 m²,2,HGB,2200 Watt,1,,,2,Bagus
Wilson Rumah Hook Uk 8x15 di Meruya Kav Dki,"Rp 2,6 Miliar",3,3,120 m²,120 m²,1,SHM,2200 Watt,1,,,4,Bagus
Wilson Rumah Minimalis 2 Lantai Di Meruya Kav Dki,"Rp 2,49 Miliar",1,3,120 m²,160 m²,3,HGB,2200 Watt,,,,4,Baru
Ana* Rumah Baru 3.5lt Luas 3.5x14m Plong Jln 1 Mobil Lega Jelambar - * Good-deal!!*,"Rp 1,95 Miliar",1,3,49 m²,138 m²,1,SHM,2200 Watt,,,,2,Bagus
"Ana* Rumah Baru 3.5lt Luas 4x16m Plong Hadap Timur Di Jelambar - * Good-Deal!!*
","Rp 2,19 Miliar",4,2,64 m²,168 m²,1,SHM,Lainnya,,,,4,Baru
Wilson Rumah American Classic Dekat Jalan Raya Di Meruya,"Rp 2,1 Miliar",4,3,100 m²,125 m²,1,SHM,2200 Watt,,,,2,Baru
Ana* Rumah Baru 3.5lt Luas 3.7x14.5m2 Bangunan Bata Merah Di Jelambar - * Good-deal!!*,"Rp 1,95 Miliar",3,3,53 m²,138 m²,1,SHM,2200 Watt,,,,2,Bagus
Wilson Rumah Uk 6x22 Di Meruya ,"Rp 2,85 Miliar",4,3,132 m²,150 m²,2,HGB,Lainnya,,,,1,Baru
Wilson Dijual Rumah Santorini Dengan Ceiling Tinggi Di Meruya Utara,"Rp 2,5 Miliar",1,1,125 m²,150 m²,2,SHM,2200 Watt,,,,2,Baru
Ana* Rumah Di Kav.polri Luas 7.4x15m Lokasi Bagus Jelambar - * Good-deal!!*,"Rp 2,5 Miliar",3,2,111 m²,111 m²,2,SHM,2200 Watt,,,,2,Baru
Wilson Rumah Uk 5x25 Di Meruya Hadap Selatan,"Rp 2,5 Miliar",3,3,125 m²,120 m²,2,SHM,2200 Watt,,,,2,Baru
Wilson Rumah 2 Lantai Di Meruya Kav Dki,"Rp 2,4 Miliar",3,2,125 m²,140 m²,2,HGB,Lainnya,,,,2,Bagus
Wilson  Rumah  Lokasi Bagus Di Meruya Utara,"Rp 1,9 Miliar",4,3,80 m²,100 m²,2,HGB,2200 Watt,,,,2,Bagus
Wilson Rumah 2 Lantai Uk 5x20 Di Meruya Utara,"Rp 2,29 Miliar",5,3,100 m²,150 m²,1,SHM,4400 Watt,,,,3,Bagus
"Ana* Rumah Hoek 2lt, Luas 11x20m Murah Rp. 17jt-an Perm2 Luas Jarang Ada Lokasi Bagus Jelambar - * Good-deal!!*","Rp 3,75 Miliar",4,3,214 m²,338 m²,2,SHM,4400 Watt,,,,3,Bagus
Ana* Rumah 3lt Luas 4x15m Semifurnish Harga 1m-An Di Jelambar - * Good-Deal!!*,"Rp 1,79 Miliar",4,2,60 m²,128 m²,1,SHM,2200 Watt,,,,3,Bagus
Ana* Rumah 2.5lt Luas 8x10m Bisa Usaha Jln 2 Mobil Di Jelambar - * Good-deal!!*,"Rp 2,29 Miliar",4,4,78 m²,178 m²,2,SHM,3500 Watt,,,,2,Bagus
Ana* Rumah Murah 2.5lt Luas 7.5x20m Lokasi Nyaman 17jt-an Perm2 Di Komplek Jelambar - * Good-deal!!*,"Rp 2,7 Miliar",2,2,153 m²,280 m²,2,SHM,Lainnya,,,,1,Bagus
Rumah Dijual 2 Lantai Termurah Kemayoran Jakarta Pusat ,Rp 621 Juta,3,2,24 m²,46 m²,2,SHM,2200 Watt,,,,2,Bagus
JUAL CEPAT Rumah Standart Jln 2 Mobil di Graha Sunter Pratama-Yn,"Rp 1,8 Miliar",3,2,90 m²,1 m²,2,SHM,Lainnya,,,,3,Butuh Renovasi
"TURUN HARGA!! Best Deal Rumah Bagus Dan Rapih 2Lt Di Taman Nyiur, Nego","Rp 3,1 Miliar",8,4,136 m²,160 m²,1,SHM,Lainnya,,,,1,Renovasi Minimum
"TURUN HARGA!! Dijual Rumah Rapih 3Lt Di Kelapa Gading, Nego","Rp 2,9 Miliar",4,2,120 m²,1 m²,2,Lainnya,Lainnya,,,,2,Bagus
Jual Cepat Rumah Tua Standart Jalan 2 Mobil di Sunter Agung,"Rp 1,8 Miliar",6,4,90 m²,1 m²,1,HGB,Lainnya,,,,2,Bagus
Hot Sale Rumah 2lt Sunter Metro Row 3 Mobil,"Rp 4,8 Miliar",3,4,239 m²,388 m²,2,SHM,Lainnya,,,,2,Bagus
"TURUN HARGA!! Rumah Minimalis Semi Furnish Di Danau Sunter, Nego ",Rp 4 Miliar,6,4,144 m²,200 m²,2,Lainnya,5500 Watt,,,,1,Renovasi Total
JUAL CEPAT Rumah Lokasi Strategis Pinggir Jalan Raya di Sunter-Yn,"Rp 29,5 Miliar",5,2,1000 m²,1 m²,2,SHM,Lainnya,,,,1,Bagus
"MURAH!! Dijual Rumah Standart 1,5Lt Di Agung Utara, Nego Sampai Deal","Rp 1,5 Miliar",3,1,88 m²,120 m²,2,SHM,Lainnya,,,,1,Bagus
TURUN HARGA!! Dijual Rumah Tua Hitung Tanah Di Sunter Agung ,"Rp 3,45 Miliar",2,2,150 m²,1 m²,1,SHM,Lainnya,,,,1,Bagus
"Jual Cepat Area Bisa Usaha Rumah Standart Di Sunter Hijau, Bisa Nego","Rp 2,9 Miliar",2,1,120 m²,100 m²,1,SHM,Lainnya,,,,1,Bagus
JUAL CEPAT!!! Rumah Bagus Bebas Banjir Di Danau Elok Sunter,"Rp 1,5 Miliar",6,5,70 m²,120 m²,2,HGB,2200 Watt,,,,3,Bagus
"HOT SALE!! Rumah Siap Huni Jalan 1 Mobil di Bcs, Nego Sampai Deal",Rp 1 Miliar,4,3,75 m²,75 m²,2,SHM,1300 Watt,,,,3,Sudah Renovasi
"JUAL CEPAT!! Rumah Brand New Siap Huni di Danau Asri, Harga OK","Rp 5,8 Miliar",4,4,114 m²,266 m²,2,SHM,Lainnya,,,,2,Renovasi Minimum
"TURUN HARGA!! Dijual Rumah Full Furnish Siap Huni Di Sunter STS, Nego","Rp 5,2 Miliar",12,4,126 m²,1 m²,2,SHM,5500 Watt,,,,2,Bagus
"Rumah Full Furnished Mewah 2,5 Lantai Golf Island Unit Langka","Rp 15,5 Miliar",3,3,240 m²,425 m²,2,HGB,7700 Watt,,,,2,Sudah Renovasi
Rumah Mewah Gold Coast PIK LT 600 Best Deal Unit Langka,Rp 20 Miliar,2,2,600 m²,900 m²,12,SHM,8000 Watt,,,,2,Bagus
Rumah 2 Lantai Dalam Kompleks Elit Cempaka Putih,"Rp 2,37 Miliar",5,5,84 m²,136 m²,3,SHM,2200 Watt,,,,2,Bagus
Rumah Di Green Lake City Cluster West Europe Ukuran 4x15 Selatan,"Rp 1,45 Miliar",5,5,60 m²,87 m²,2,SHM,4400 Watt,,,,1,Renovasi Total
"Rumah Mewah Siap Huni di Banyumas, Menteng Jakarta Pusat",Rp 90 Miliar,4,4,876 m²,1200 m²,1,SHM,23000 Watt,,,,1,Bagus
"Terlangka! Kemang Dalam, Favoritnya Kemangjakarta Selatan ",Rp 30 Miliar,4,3,1063 m²,500 m²,2,SHM,Lainnya,,,,4,Bagus
Terbaik Kemang Timur Raya Hitung Tanah Cocok Cafe Resto Kantor Toko,"Rp 15,5 Miliar",5,3,543 m²,300 m²,2,SHM,Lainnya,,,,2,Bagus
Dhyana Rumah Uk 8x20m Lokasi Bagus di Komplek Kavling Polri,"Rp 5,3 Miliar",3,3,160 m²,360 m²,3,SHM,4400 Watt,,,,3,Bagus
dhyana Rumah full furnish uk 10.9x20m lokasi bagus di komplek kavling polri,"Rp 4,9 Miliar",4,3,217 m²,367 m²,2,SHM,5500 Watt,,,,4,Bagus
dhyana Rumah ukuran 7.5x14m di komplek kavling polri,"Rp 3,5 Miliar",3,2,105 m²,168 m²,1,SHM,1300 Watt,,,,2,Bagus
dhyana Rumah ukuran 4x14m lokasi bagus di jelambar,"Rp 2,35 Miliar",4,4,56 m²,126 m²,1,SHM,5500 Watt,,,,2,Bagus
"Rumah Semi Furnish di Cluster Amerika Green Lake City, Jarang Ada","Rp 3,6 Miliar",4,2,144 m²,147 m²,1,SHM,4400 Watt,,,,2,Bagus
"Rumah Murah di Green Lake City Cluster Asia, Jakarta, Siap Huni, Jarang Ada","Rp 2,5 Miliar",3,3,108 m²,130 m²,2,HGB,Lainnya,,,,1,Bagus
"Jarang Ada, Rumah Bagus Siap Huni di Cluster Amerika Latin, Nego Sampai Jadi",Rp 6 Miliar,6,2,180 m²,216 m²,2,SHM,4400 Watt,,,,3,Baru
Dijual Rumah Bagus Daerah Elite Jl Brawijaya Ii Kebayoran Baru Jakarta Selatan,"Rp 45,5 Miliar",2,4,500 m²,457 m²,2,SHM,13200 Watt,,,,2,Bagus
dhyana Rumah ukuran 6.5x21m di komplek kavling polri,"Rp 2,7 Miliar",24,24,136 m²,260 m²,1,SHM,4400 Watt,,,,2,Bagus
"Rumah Baru Dengan 2 Carport Di Jl. Pete Cipete Kebayoran Baru, Kebayoran Baru Cocok Untuk Kos-kosan","Rp 3,3 Miliar",3,2,115 m²,180 m²,3,SHM,2200 Watt,,,,4,Bagus
dhyana Rumah lama hoek uk 9x16m di komplek kavling polri,"Rp 3,4 Miliar",3,3,144 m²,250 m²,2,SHM,7700 Watt,,,,4,Bagus
dhyana Rumah baru ukuran 5x20m hadap selatan di jelambar,"Rp 3,7 Miliar",4,3,100 m²,300 m²,1,SHM,2200 Watt,,,,2,Bagus
Kos-Kosan 4 Lantai Shm Lokasi Strategis Dan Akses Bagus,"Rp 18,5 Miliar",4,3,450 m²,600 m²,2,SHM,5500 Watt,,,,2,Bagus
Rumah Siap Huni Premium Akses Strategis Dekat Toll & Lrt,"Rp 1,3 Miliar",3,3,77 m²,85 m²,2,SHM,2200 Watt,,,,3,Sudah Renovasi
Jual Cepat Rumah New Brand 2 Lantai Di Cluster Hawai Pik 2,"Rp 2,9 Miliar",3,5,75 m²,107 m²,1,SHM,Lainnya,,,,2,Bagus
Rumah Siap Huni Di Tebet Best Akses Best Invesment ,"Rp 2,9 Miliar",5,3,87 m²,170 m²,1,SHM,Lainnya,,,,1,Bagus
Dijual Cepat Rumah Pik 2 Brand New Full Furnished Bagus Ukuran 8x15 ,"Rp 5,2 Miliar",3,3,120 m²,163 m²,2,PPJB,4400 Watt,,,,4,Baru
Jarang Ada. Rumah Metland 7x15 Full Bangunan ,"Rp 2,4 Miliar",4,4,105 m²,105 m²,1,SHM,Lainnya,,,,3,Bagus
Mewah! Semi Furnish Rumah Dijual Di Pantai Indah Kapuk Siap Huni 4lantai Lokasi Strategis,"Rp 6,95 Miliar",3,3,119 m²,250 m²,2,SHM,Lainnya,,,,2,Bagus
Mewah! Rumah Full Furnished Di Pantai Indah Kapuk Dijual Full Interior Cakep!,Rp 11 Miliar,4,3,200 m²,560 m²,2,SHM,Lainnya,,,,3,Bagus
RUMAH 2 LANTAI MURAH DI PANTAI INDAH KAPUK. SIAP JUAL CEPAT!,Rp 6 Miliar,3,3,136 m²,180 m²,1,SHM,4400 Watt,,,,2,Bagus
"Cakep Buangettt, Rumah Mewah 3 Lantai di Cluster Garden House. ",Rp 10 Miliar,3,4,200 m²,350 m²,2,SHM,Lainnya,,,,3,Bagus
Turun Harga! Rumah Dijual Di Kelapa Gading Termurah Dengan Kondisi Gress!,"Rp 2,4 Miliar",4,4,105 m²,160 m²,8,SHM,Lainnya,,,,3,Bagus
Semi Furnished! Rumah Dijual Di Sunter Paradise 4+1 Kamar ,"Rp 3,98 Miliar",3,3,105 m²,250 m²,2,SHM,7700 Watt,,,,3,Bagus
Termurah Se Golf Island! Rumah Dijual Di Golf Island 6x12.5m2 Butuh Jual Cepat! ,"Rp 2,9 Miliar",5,7,75 m²,120 m²,,PPJB,Lainnya,,,,3,Baru
Termurah! Rumah Di Graha Sunter Pratama Dijual Semi Furnish!,"Rp 2,85 Miliar",4,4,90 m²,225 m²,,SHM,Lainnya,,,,2,Bagus
Turun Di Bawah Harga Pasar!!! Rumah Di Sunter Paradise Cepat Tinggal Cat Dikit,"Rp 3,2 Miliar",4,2,90 m²,150 m²,,SHM,Lainnya,,,,3,Baru
"Rumah Murah 160m2 KPR, 2 Lantai Golf Island, Pantai Indah Kapuk",Rp 6 Miliar,4,3,160 m²,250 m²,,Lainnya,4400 Watt,,,,4,Baru
RUMAH MINIMALIS  3 LANTAI DIPANTAI INDAH KAPUK UK 330M2. ,Rp 29 Miliar,4,4,330 m²,500 m²,,SHM,9500 Watt,,,,2,Bagus
RUMAH MEWAH 4 LANTAI DI CITRA GARDEN.,"Rp 11,5 Miliar",2,2,180 m²,450 m²,,SHM,4400 Watt,,,,3,Bagus
"RUMAH BARU ESTETIK SEMI-FURNISH DURI KEPA DEKAT TANJUNG DUREN, JAKARTA BARAT","Rp 1,7 Miliar",4,3,52 m²,200 m²,,SHM,2200 Watt,,,,2,Renovasi Minimum
For Sale Rumah di Kemang Jakarta Selatan 3 Lantai + Private pool ,"Rp 7,5 Miliar",3,2,157 m²,250 m²,,SHM,Lainnya,,,,2,Bagus
Rumah Baru 3 Unit lebar jalan gede di Duri Kepa(DK236) ,"Rp 2,2 Miliar",3,3,88 m²,180 m²,,SHM,Lainnya,,,,2,Bagus
Rumah Hitung Tanah 6x17.5 lokasi strategis di Duri Kepa(DK350),"Rp 1,65 Miliar",4,3,105 m²,105 m²,,SHM,Lainnya,,,,2,Bagus
Rumah Siap Huni Lokasi Strategis Bebas banjir di Duri kepa(DK78),"Rp 2,25 Miliar",2,1,86 m²,150 m²,,SHM,Lainnya,,,,2,Bagus
Rumah 4x13 masuk mobil strategis di Duri kepa(DK297),Rp 950 Juta,3,2,52 m²,98 m²,,SHM,Lainnya,,,,3,Renovasi Total
Dijual Rumah Dengan Private Pool Dalam Cluster di Lebak Bulus Jakarta Selatan,"Rp 6,5 Miliar",3,2,252 m²,128 m²,,SHM,6600 Watt,,,,1,Bagus
" Rumah 3 Lantai Furnished Bagus SHM - Sertifikat Hak Milik di Pelepah Raya gading Harmoni, Kelapa Gading","Rp 3,65 Miliar",3,4,120 m²,270 m²,,SHM,5500 Watt,,,,2,Renovasi Total
Dijual Cepat Rumah Kelapa Gading Lt90m.,Rp 2 Miliar,6,5,90 m²,75 m²,,SHM,2200 Watt,,,,1,Baru
"Jual Murah Rumah SHM Siap Huni di Cluster Thames, Jakarta Garden City, Cakung 030","Rp 1,67 Miliar",4,4,94 m²,75 m²,,SHM,2200 Watt,,,,1,Sudah Renovasi
"  Murah Rumah tua Cempaka Putih Tengah ,hitung tanah jakpus","Rp 6,9 Miliar",4,4,360 m²,247 m²,,SHM,4400 Watt,,,,2,Bagus
Jarang Ada Rumah Impian 3 1/2 + Rooftop di daerah Elite Kemang Selatan Jakarta Selatan,"Rp 4,1 Miliar",4,4,83 m²,211 m²,,SHM,Lainnya,,,,2,Bagus
"Rumah Pondok Indah, Kokoh Kontur Tinggi Anti Banjir Lokasi Tenang",Rp 34 Miliar,3,3,768 m²,600 m²,,SHM,Lainnya,,,,2,Bagus
"Rumah Mewah PIK2, Brand New 10x25, 2,5lt, Shm, Bisa KPR","Rp 9,5 Miliar",4,4,250 m²,330 m²,,SHM,4400 Watt,,,,2,Bagus
"Rumah Mewah PIK, Taman Golf Timur, Lt 1626m2, Jakarta Utara","Rp 81,8 Miliar",4,4,1626 m²,2500 m²,,SHM,22000 Watt,,,,2,Baru
"Rumah Mewah PIK2 Bisa Kpr 10x20 2lantai Boulevard ,SHM","Rp 7,2 Miliar",2,3,200 m²,224 m²,,SHM,4400 Watt,,,,1,Butuh Renovasi
"Rumah Murah PIK2, 8x15 2 Lantai Cluster Milenial Pik 2, Brand New","Rp 3,1 Miliar",4,3,120 m²,146 m²,,SHM,4400 Watt,,,,2,Bagus
Sudah Shm Bisa Kpr! Rumah 8x15 Pik 2 Termurah,"Rp 4,2 Miliar",4,3,120 m²,170 m²,,SHM,Lainnya,,,,3,Renovasi Minimum
"Pakubuwono Area, Mayestik/Blok M/Scbd",Rp 22 Miliar,5,4,391 m²,575 m²,,SHM,11000 Watt,,,,1,Sudah Renovasi
Ana* Rumah Baru 3.25lt Luas 4x17m Jln 2 Mobil Harga 2m-an Di Jelambar - * Good-deal!!*,"Rp 2,45 Miliar",4,3,68 m²,168 m²,,SHM,2200 Watt,,,,2,Sudah Renovasi
"Rumah Dalam Complex Keamanan 24jam, Jalan Lebar","Rp 18,5 Miliar",3,3,427 m²,500 m²,,SHM,7700 Watt,,,,2,Bagus
"Rumah Pondok Indah Terawat, Jalan Lebar","Rp 17,8 Miliar",4,3,408 m²,400 m²,,SHM,3500 Watt,,,,3,Bagus
"Rumah Kokoh, Lingkungan Tenang, Siap Huni, Sirkulasi Udara Bagus",Rp 25 Miliar,2,3,572 m²,559 m²,,SHM,10000 Watt,,,,2,Sudah Renovasi
Ana* Rumah 3lt Luas 10x16m2 Bisa Usaha Di Jelambar - * Good-deal!!*,"Rp 3,69 Miliar",4,3,164 m²,338 m²,,SHM,3500 Watt,,,,3,Bagus
Rumah Modern Minimalis Di Pondok Indah Dilengkapi Kolam Renang,"Rp 11,5 Miliar",5,5,243 m²,330 m²,,SHM,10000 Watt,,,,2,Bagus
Pondok Indah Hadap Timur 3Lt  Sudah Renovasi ada tmn di belakang,"Rp 7,4 Miliar",3,4,140 m²,300 m²,,SHM,Lainnya,,,,2,Sudah Renovasi
Ana* Rumah Bagus 2lt Luas 4.8x16m Semifurnish Harga 1m-an Di Jelambar - * Good-deal!!*,"Rp 1,79 Miliar",3,2,76 m²,108 m²,,SHM,2200 Watt,,,,2,Bagus
Ana* Rumah Bagus 2lt Luas 8x22.5m Jln 2.mobil Di Jelambar - * Good-deal!!*,"Rp 3,6 Miliar",1,2,180 m²,288 m²,,SHM,2200 Watt,,,,4,Bagus
"Rumah Bagus, Ceiling Tinggi, Dilengkapi Kolam Renang, Lay Out Bagus",Rp 21 Miliar,3,2,543 m²,400 m²,,SHM,16500 Watt,,,,2,Baru
Ana* Rumah Classic 3.5lt Di Komp. Thi Luas 7x22m Lokasi Nyaman Jelambar - * Good-deal!!*,"Rp 6,5 Miliar",4,4,154 m²,418 m²,,SHM,3500 Watt,,,,2,Bagus
Rumah Bagus 2lantai Di Pondok Indah Dengan Kamar Tidur Yg Besar,"Rp 9,5 Miliar",4,3,200 m²,300 m²,,SHM,5500 Watt,,,,3,Renovasi Minimum
Rumah Baru 2 Lantai Minimalis Dekat Jis Jakarta Utara,Rp 477 Juta,4,3,21 m²,41 m²,,SHM,2200 Watt,,,,2,Bagus
Dijual Rumah Indent Lokasi Strategis Shm Di Senen,Rp 621 Juta,4,4,25 m²,73 m²,,SHM,2200 Watt,,,,2,Bagus
Murah Rumah Venice Pik 10x20 Butuh Renovasi Pik Pantai Indah Kapuk,Rp 6 Miliar,4,3,200 m²,320 m²,,PPJB,Lainnya,,,,2,Bagus
Rumah Bgm Pik 20x30 Hoek Pik Pantai Indah Kapuk,Rp 20 Miliar,3,3,600 m²,800 m²,,Lainnya,Lainnya,,,,2,Bagus
Jual Rumah minimalis modern Green Lake City Cluster Australia,"Rp 2,5 Miliar",4,4,90 m²,120 m²,,SHM,Lainnya,,,,2,Renovasi Total
RUMAH MEWAH PIK2 SIAP HUNI JARANG ADA DEPAN CLUBHOUSE HARGA MURAH,"Rp 6,6 Miliar",4,4,150 m²,250 m²,,SHM,Lainnya,,,,2,Baru
Jual Rumah East Asia Green Lake City,"Rp 2,5 Miliar",5,5,90 m²,126 m²,,SHM,2200 Watt,,,,3,Bagus
Rumah Di Bawah Pasaran. Murah.jln Surabaya Menteng Jak Pus,"Rp 13,2 Miliar",10,10,364 m²,300 m²,,SHM,5500 Watt,,,,2,Bagus
"Rumah 3 Lantai Shm, Mewah, Murah Di Permata Hijau Senayan ",Rp 32 Miliar,8,5,555 m²,900 m²,,SHM,10600 Watt,,,,2,Bagus
"Rumah 2 Lantai Murah , Shm Dijalan Bangka , Jakarta Selatan",Rp 17 Miliar,3,3,738 m²,950 m²,,SHM,16500 Watt,,,,2,Bagus
"Rumah Hoek, Shm 2 Lantai Di Taman Metro Alam, Pondok Indah.",Rp 50 Miliar,2,2,1091 m²,1113 m²,,SHM,10000 Watt,,,,2,Bagus
Rumah Mewah 2 Lantai.di Kawasan Elit Kebayoran Baru Jak Sel,Rp 98 Miliar,3,3,1038 m²,1000 m²,,SHM,10000 Watt,,,,2,Bagus
Rumah Mewah Di Bawah Njop.di Sunter Jaya. Sunter Garden Jakut,"Rp 6,28 Miliar",3,4,830 m²,1090 m²,,SHM,10000 Watt,,,,2,Bagus
Europe 8x15 - Siap Nego!!!,"Rp 3,25 Miliar",3,4,120 m²,130 m²,,SHM,Lainnya,,,,2,Bagus
East Asia 4x12 - Best Deal!!,"Rp 1,3 Miliar",4,3,48 m²,76 m²,,SHM,4400 Watt,,,,2,Bagus
"DiJual Rumah West Europe 8x15 Green Lake City, Bagus Dan Rapih","Rp 3,3 Miliar",4,3,120 m²,150 m²,,SHM,4400 Watt,,,,2,Bagus
"DiJual Australia 8x15 Green Lake City,  Furnished, SHM","Rp 3,6 Miliar",2,1,120 m²,180 m²,,Lainnya,5500 Watt,,,,2,Bagus
"Rumah Amerika 8x18 Green Lake City, SHM, 2 Lantai, Utara","Rp 3,45 Miliar",2,1,144 m²,135 m²,,SHM,4400 Watt,,,,2,Bagus
Dijual Cepat Rumah New Siap Huni Kelapa Gading,"Rp 3,2 Miliar",5,4,102 m²,234 m²,,SHM,3500 Watt,,,,2,Bagus
"Rumah Asia 6x15 Green Lake City, SHM, Full Bangunan, Furnished","Rp 2,65 Miliar",4,3,90 m²,130 m²,,SHM,4400 Watt,,,,3,Baru
"Rumah East Asia 4x12 Green Lake City, SHM, 2 Lantai, Hadap Utara","Rp 1,25 Miliar",4,2,48 m²,76 m²,,SHM,4400 Watt,,,,2,Bagus
"Rumah West Europe 4x15 Green Lake City, Shm, Semi Furnished","Rp 1,47 Miliar",3,4,60 m²,87 m²,,SHM,4400 Watt,,,,1,Bagus
"Rumah Tropical 5 Kt di Area Strategis Jagakarsa, Jakarta Selatan","Rp 2,74 Miliar",2,1,95 m²,200 m²,,SHM,3500 Watt,,,,3,Bagus
Rumah Cluster Eksklusif Fasilitas Kolam Renang + Rooftop Di Area Jagakarsa,"Rp 2,29 Miliar",4,3,93 m²,150 m²,,SHM,5500 Watt,,,,2,Bagus
"Rumah Luas Terawat Siap Huni di Area Eksklusif Kebon Jeruk, Kembangan, Jakarta Barat","Rp 5,69 Miliar",4,3,396 m²,250 m²,,SHM,3500 Watt,,,,2,Bagus
Rumah Mewah Full Interior By Rumah Louie Project di Area Strategis Meruya Jakarta Barat,"Rp 4,99 Miliar",1,1,121 m²,304 m²,,SHM,5500 Watt,,,,2,Bagus
