Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Rumah Cipinang Elok Dekat Dengan Mall Bassura Jakarta Timur,Rp 458 Juta,5,3,20 m²,39 m²,1,SHM,2200 Watt,1,1,1,1,Bagus
For Sale Dijual Cepat Rumah Cantik Asri Single House Private Pool Harga Murah Lokasi Tenang Dan Strategis Dekat Sekolah Dan Perkantoran Taman Luas Siap Huni Harga Murah Area Kemang Ampera Jakarta Selatan ,Rp 35 Miliar,3,2,1600 m²,700 m²,3,SHM,23000 Watt,1,1,1,3,Baru
Rumah Cluster Strategis Akses Dekat Ke Sta. Mrt,"Rp 1,8 Miliar",3,2,80 m²,120 m²,4,SHM,3500 Watt,1,1,1,1,Bagus
Rumah Hadap Utara Bebas Banjir 15 menit ke Mall Cipinang Indah Dibantu KPR J20440,"Rp 1,22 Miliar",4,2,90 m²,90 m²,4,SHM,2200 Watt,1,1,2,1,Bagus
Rumah Asri Tidak Banjir Di Swadarma Komp. Bni Ulujami Jakarta Selatan,"Rp 3,03 Miliar",2,1,192 m²,118 m²,4,SHM,1300 Watt,2,1,2,1,Bagus
Rumah SHM Siap Huni dekat Stasiun Kalideres Jakbar Harga Nego Dibantu KPR J23762,Rp 830 Juta,3,2,60 m²,42 m²,1,SHM,Lainnya,1,1,1,1,Bagus
Rumah Minimalis 3 Kamar Dekat RS Jatisampurna Siap KPR J25849,Rp 880 Juta,3,3,125 m²,65 m²,1,SHM,Lainnya,1,1,1,3,Bagus
Ana* Rumah Baru 3.25lt Luas 7x15m Hoek Jarang Ada Di Muara Karang - * Good-deal!!*,"Rp 3,7 Miliar",5,5,105 m²,238 m²,10,SHM,2200 Watt,1,1,2,2,Bagus
Rumah Pluit & Open Nego Pantai Mutiara 2 Lantai Full Bangunan,"Rp 10,5 Miliar",3,3,312 m²,456 m²,1,SHM,10600 Watt,2,2,5,2,Baru
Wilson Rumah Baru Bebas Banjir Di Metro Permata 1,"Rp 1,7 Miliar",6,3,77 m²,120 m²,3,SHM,2200 Watt,3,1,1,2,Butuh Renovasi
Rumah Di Jl. Menteng Kebon Sirih Lokasi Pusat Kota,Rp 15 Miliar,5,4,278 m²,260 m²,2,HGB,3500 Watt,1,2,1,2,Bagus
Rumah mewah lokasi strategis lengkap dengan kolam renang,Rp 15 Miliar,5,5,876 m²,600 m²,1,SHM,3500 Watt,1,1,4,2,Renovasi Minimum
"DIJUAL CEPAT DIBAWAH NJOP RUMAH di Jl SALEMBA, JAKPUS",Rp 16 Miliar,4,2,900 m²,650 m²,2,SHM,Lainnya,1,1,4,2,Bagus
Rumah 2 Lantai di Taman Semanan Indah Jakarta Barat Strategis ,"Rp 2,1 Miliar",4,4,90 m²,132 m²,1,SHM,Lainnya,1,1,2,3,Bagus
Dijual Rumah Luas dengan Taman di Kebon Jeruk,"Rp 18,5 Miliar",6,7,652 m²,547 m²,2,SHM,7600 Watt,1,1,2,2,Bagus
"Ana* Rumah Mewah Hoek 3.25lt Luas 18x21m Semifurnish Di Komplek Tpi, Penjaringan, Taman Permata Indah, Jakarta Utara - * Good-deal!!*","Rp 12,8 Miliar",2,2,375 m²,660 m²,1,SHM,Lainnya,1,1,2,2,Bagus
Rumah 2 Lantai Hanya 5 Menit Ke Stasiun Kemayoran ,Rp 614 Juta,2,1,21 m²,42 m²,5,SHM,2200 Watt,1,1,2,3,Bagus
Rumah Cantik Minimalis Di Pusat Kota Dengan Lokasi Yang Sangat Strategis,Rp 647 Juta,30,10,25 m²,48 m²,2,SHM,Lainnya,1,1,2,2,Bagus
Rumah Kost Dibawah Njop Di Pademangan Jakarta.utara.,"Rp 9,48 Miliar",7,4,1000 m²,1700 m²,1,HGB,Lainnya,2,1,1,2,Renovasi Total
Rumah Lokasi Strategis Cocok Untuk Kost Atau Kantor di Slipi Jakarta Barat,Rp 13 Miliar,4,4,285 m²,400 m²,1,SHM,Lainnya,2,1,1,2,Bagus
Dijual Cepat Rumah Bagus Di Joglo Jakarta,"Rp 1,6 Miliar",5,4,100 m²,165 m²,1,SHM,Lainnya,2,2,1,2,Bagus
Dijual Cepat Rumah Siap Huni Dan Posisi Hoek Dan Lokasi Strategis Dipusat Kota,"Rp 4,7 Miliar",5,3,190 m²,235 m²,2,SHM,Lainnya,1,1,4,1,Bagus
Rumah Baru di Senayan Lokasi Elit Jarang Ada,"Rp 6,69 Miliar",3,3,147 m²,183 m²,2,SHM,Lainnya,4,2,1,2,Bagus
Rumah Cantik Murah Design Elegan Dalam Cluster  Kp Tengah  Kramatjati Jaktim,"Rp 2,09 Miliar",3,3,84 m²,110 m²,3,SHM,2200 Watt,1,1,1,2,Bagus
Rumah Baru Siap Huni Dalam.komplek Besar Di Depan Cinere Mall,"Rp 3,35 Miliar",5,3,150 m²,250 m²,2,SHM,Lainnya,2,1,10,3,Bagus
Rumah 2 Lantai Asri Dan Tenang,Rp 12 Miliar,4,3,301 m²,300 m²,1,SHM,4400 Watt,2,1,2,3,Bagus
Rumah Cluster Senayan Golf Residence Patal Senayan Bawah Pasar Murahhh  Cash Only,Rp 5 Miliar,3,2,88 m²,280 m²,1,SHM,Lainnya,1,1,2,1,Bagus
Rumah 3 Lantai Di Bandengan Selatan Blkg Ruko Robinson,"Rp 3,85 Miliar",3,2,109 m²,250 m²,2,SHM,5500 Watt,1,1,2,2,Butuh Renovasi
Rumah Dijual Mendekati Harga NJOP 2024,"Rp 8,7 Miliar",4,4,398 m²,250 m²,2,SHM,Lainnya,1,1,2,2,Butuh Renovasi
MURAHH RUMAH Mewah MENTENG JAKARTA PUSAT  di Menteng Atas,Rp 41 Miliar,3,2,586 m²,300 m²,3,SHM,3500 Watt,1,1,2,2,Baru
Murah Rumah 2lantai Di Kalisari Pekayon Jakarta Timur,Rp 850 Juta,6,2,63 m²,76 m²,1,SHM,2200 Watt,1,1,2,1,Renovasi Minimum
Dijual Murah Rumah Lokasi Strategis Tanjung Priok Jakarta Utara,"Rp 2,2 Miliar",4,2,241 m²,140 m²,3,SHM,Lainnya,1,1,2,2,Bagus
